Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 5332,   13h52m09.0s, +16°58'00.5", 13.35, 0.830, 12.57, 2h25m, +77°48'27.07", 143°38'08.0", galaxia
NGC 5334,   13h52m55.5s, -1°07'01.0", 12.57, 2.300, 13.33, 2h26m, +84°06'32.19", 145°36'49.0", galaxia activa
NGC 5335,   13h52m57.6s, +2°48'43.0", 13.51, 1.620, 13.35, 2h26m, +88°02'16.27", 145°50'01.2", galaxia
NGC 5338,   13h53m27.5s, +5°12'18.9", 13.32, 1.443, 13.37, 2h26m, +89°34'07.34", 145°39'16.8", galaxia
NGC 5345,   13h54m15.2s, -1°26'19.0", 13.13, 1.423, 13.45, 2h27m, +83°47'15.59", 145°14'51.2", galaxia
NGC 5347,   13h53m19.1s, +33°29'13.8", 12.89, 1.807, 13.28, 2h26m, +61°17'12.71", 135°29'32.1", galaxia activa
NGC 5348,   13h54m12.3s, +5°13'28.8", 13.64, 1.893, 13.65, 2h27m, +89°32'56.70", 145°28'05.9", galaxia
NGC 5352,   13h53m39.7s, +36°07'50.0", 13.56, 1.110, 13.25, 2h26m, +58°38'36.14", 133°49'25.6", radio galaxia
NGC 5353 (Grupo NGC 5353),   13h53m28.1s, +40°16'45.8", 11.60, 3.653, 13.35, 2h26m, +54°29'40.56", 131°10'55.0", blazar
NGC 5355,   13h53m46.9s, +40°20'06.2", 13.68, 0.810, 12.54, 2h26m, +54°26'19.85", 131°06'01.0", galaxia
NGC 5356,   13h54m59.4s, +5°19'51.8", 12.94, 2.547, 13.47, 2h28m, +89°26'32.85", 145°16'01.7", galaxia
NGC 5357,   13h56m00.7s, -30°20'30.4", 13.72, 1.417, 13.58, 2h29m, +54°53'06.11", 133°08'22.3", galaxia activa
NGC 5358,   13h54m01.8s, +40°16'25.2", 14.05, 0.797, 12.54, 2h27m, +54°30'00.55", 131°06'19.7", galaxia
NGC 5360,   13h55m39.7s, +4°58'56.0", 14.92, 2.030, 14.65, 2h28m, +89°47'27.99", 145°07'04.7", galaxia
NGC 5363,   13h56m08.3s, +5°15'07.8", 10.68, 2.887, 12.39, 2h29m, +89°31'15.72", 144°59'10.6", galaxia
NGC 5365,   13h57m52.0s, -43°55'50.7", 11.40, 1.863, 12.27, 2h31m, +41°17'47.72", 123°42'35.7", galaxia
NGC 5366,   13h56m25.8s, -0°14'59.5", 18.87, 0.740, 13.68, 2h29m, +84°58'37.30", 144°49'28.7", galaxia
NGC 5368,   13h54m30.9s, +54°19'36.8", 13.65, 0.697, 12.47, 2h27m, +40°26'48.55", 121°04'23.7", galaxia
NGC 5370,   13h54m11.4s, +60°40'26.8", 13.45, 1.293, 12.90, 2h27m, +34°05'58.90", 116°15'27.4", galaxia
NGC 5371,   13h55m41.3s, +40°27'28.8", 12.13, 4.927, 14.94, 2h28m, +54°18'55.28", 130°44'46.3", galaxia activa
NGC 5373,   13h57m08.5s, +5°14'57.7", 14.83, 0.417, 12.64, 2h30m, +89°31'24.74", 144°44'13.0", galaxia
NGC 5374,   13h57m30.6s, +6°05'39.4", 13.36, 1.490, 13.82, 2h30m, +88°40'42.63", 144°35'34.5", radio galaxia
NGC 5377,   13h56m18.2s, +47°13'54.1", 11.68, 2.780, 12.64, 2h29m, +47°32'29.34", 126°02'45.7", galaxia activa
NGC 5378,   13h56m52.3s, +37°47'36.0", 13.05, 2.147, 13.55, 2h29m, +56°58'46.80", 132°16'59.1", galaxia
NGC 5383,   13h57m06.3s, +41°50'31.9", 12.46, 2.963, 14.09, 2h30m, +52°55'50.71", 129°37'56.5", galaxia
NGC 5384,   13h58m13.9s, +6°30'55.4", 13.43, 0.630, 11.74, 2h31m, +88°15'25.90", 144°22'55.5", galaxia activa
NGC 5387,   13h58m25.8s, +6°04'07.3", 14.29, 1.893, 13.67, 2h31m, +88°42'13.80", 144°22'00.2", galaxia
NGC 5392,   13h59m25.8s, -3°12'40.5", 14.02, 0.923, 13.34, 2h32m, +82°00'59.49", 143°43'43.0", galaxia
NGC 5394 (Galaxia de la Garza),   13h58m34.9s, +37°26'59.0", 13.32, 0.567, 11.49, 2h31m, +57°19'22.05", 132°13'57.1", interacción galaxias
NGC 5395 (Galaxia de la Garza),   13h58m39.2s, +37°25'15.0", 12.68, 2.967, 14.07, 2h31m, +57°21'05.96", 132°14'21.3", galaxia activa
NGC 5396,   13h56m57.1s, +29°09'38.8", 12.26, 2.377, 13.04, 2h30m, +65°36'43.96", 137°17'12.7", galaxia activa
NGC 5398,   14h01m22.7s, -33°03'50.0", 12.61, 2.037, 13.61, 2h34m, +52°09'52.17", 130°32'56.2", galaxia activa
NGC 5400,   14h00m38.2s, -2°51'35.7", 13.42, 1.407, 13.63, 2h33m, +82°22'05.61", 143°28'57.1", galaxia activa
NGC 5406,   14h00m21.4s, +38°54'41.7", 12.79, 1.510, 13.26, 2h33m, +55°51'37.49", 131°02'58.5", galaxia
NGC 5411,   14h02m00.2s, +8°56'05.9", 13.58, 1.010, 12.75, 2h35m, +85°50'11.32", 143°11'28.1", galaxia
NGC 5418,   14h02m18.6s, +7°40'53.2", 13.91, 1.280, 13.39, 2h35m, +87°05'23.78", 143°15'57.1", radio galaxia
NGC 5419,   14h03m40.0s, -33°58'42.3", 11.55, 3.433, 13.69, 2h37m, +51°15'02.40", 129°36'13.5", galaxia
NGC 5421 (Galaxias Hormigas Voladoras),   14h01m42.7s, +33°49'17.2", 14.49, 1.258, 14.73, 2h34m, +60°57'00.46", 133°52'39.8", interacción galaxias
NGC 5427,   14h03m27.0s, -6°01'57.8", 14.14, 2.393, 15.60, 2h36m, +79°11'46.60", 142°13'47.8", galaxia activa
NGC 5430,   14h00m47.8s, +59°19'28.9", 13.11, 1.790, 13.23, 2h33m, +35°26'49.90", 116°45'16.8", galaxia
NGC 5433,   14h02m37.2s, +32°30'24.3", 13.61, 1.080, 12.27, 2h35m, +62°15'52.34", 134°27'22.6", radio galaxia
NGC 5434,   14h03m28.1s, +9°27'51.2", 14.84, 1.180, 13.55, 2h36m, +85°18'24.48", 142°45'35.5", radio galaxia
NGC 5436,   14h03m42.1s, +9°34'14.2", 13.97, 0.897, 12.62, 2h36m, +85°12'01.26", 142°41'14.2", galaxia activa
NGC 5437,   14h03m48.4s, +9°31'15.0", 14.30, 0.740, 12.59, 2h37m, +85°15'00.26", 142°40'08.8", galaxia activa
NGC 5439,   14h01m59.1s, +46°18'28.4", 14.09, 1.140, 13.06, 2h34m, +48°27'49.02", 125°59'00.1", galaxia
NGC 5440,   14h03m02.2s, +34°45'14.7", 12.45, 1.983, 12.84, 2h36m, +60°01'01.53", 133°07'11.8", galaxia
NGC 5441,   14h03m13.2s, +34°40'50.6", 15.80, 0.490, 12.75, 2h36m, +60°05'25.39", 133°07'52.0", galaxia
NGC 5442,   14h04m44.2s, -9°42'55.0", 14.02, 1.223, 13.39, 2h38m, +75°30'50.77", 141°00'32.7", galaxia
NGC 5455,   14h03m02.9s, +54°14'15.0", 15.16, —, —, 2h35m, +40°32'01.30", 120°17'44.5", galaxia activa
NGC 5460,   14h07m28.3s, -48°20'31.1", 5.90, 30.000, 13.02, 2h41m, +36°53'17.89", 119°23'38.1", cúmulo de estrellas
NGC 5462,   14h03m54.8s, +54°21'52.0", 18.13, —, —, 2h36m, +40°24'23.42", 120°07'00.0", región HII
NGC 5464,   14h07m05.5s, -30°01'02.5", 13.12, 1.040, 12.35, 2h40m, +55°12'46.01", 131°25'03.2", galaxia
NGC 5466 (Cúmulo Globo de Nieve),   14h05m28.4s, +28°31'51.1", 9.89, 8.000, 14.14, 2h38m, +66°14'22.41", 136°00'03.8", cúmulo estelar globular
NGC 5474,   14h05m03.3s, +53°39'29.5", 11.04, 2.647, 12.73, 2h37m, +41°06'44.63", 120°30'20.1", galaxia
NGC 5477,   14h05m34.8s, +54°27'25.4", 14.27, 1.700, 14.87, 2h38m, +40°18'48.08", 119°52'52.8", galaxia
NGC 5478,   14h08m09.5s, -1°42'15.9", 13.84, 1.053, 13.14, 2h41m, +83°31'33.73", 141°45'53.7", galaxia
NGC 5479,   14h05m59.8s, +65°41'12.1", 14.26, 0.743, 13.31, 2h38m, +29°05'01.06", 111°33'38.4", galaxia activa
NGC 5480,   14h06m23.1s, +50°43'15.5", 12.71, 2.060, 13.69, 2h39m, +44°02'57.10", 122°25'28.9", interacción galaxias
NGC 5483,   14h10m26.3s, -43°19'26.0", 11.65, 2.300, 12.84, 2h43m, +41°54'26.38", 122°29'57.9", galaxia
NGC 5485,   14h07m13.0s, +54°59'50.9", 12.48, 2.027, 13.51, 2h40m, +39°46'20.83", 119°19'48.4", galaxia activa
NGC 5486,   14h07m26.7s, +55°05'55.9", 14.10, 0.947, 13.27, 2h40m, +39°40'15.54", 119°14'05.6", galaxia activa
NGC 5490,   14h09m58.3s, +17°32'32.1", 15.68, 1.443, 13.84, 2h43m, +77°13'36.29", 139°24'59.4", radio galaxia
NGC 5491,   14h10m58.3s, +6°21'43.9", 13.41, 1.370, 13.20, 2h44m, +88°24'23.24", 141°14'12.8", galaxia
NGC 5494,   14h12m25.3s, -30°38'39.4", 12.24, 2.633, 13.60, 2h45m, +54°35'15.23", 130°06'57.4", galaxia
NGC 5495,   14h12m24.4s, -27°06'30.3", 13.71, 1.697, 14.36, 2h45m, +58°07'24.33", 132°03'37.5", galaxia activa
NGC 5503,   14h09m35.9s, +60°24'19.9", 15.51, 0.433, 12.91, 2h42m, +34°21'49.12", 115°12'42.7", galaxia
NGC 5506,   14h13m15.8s, -3°12'34.6", 14.56, 1.963, 14.21, 2h46m, +82°01'20.91", 140°18'43.9", galaxia activa
NGC 5507,   14h13m20.8s, -3°09'03.3", 12.64, 1.227, 12.23, 2h46m, +82°04'52.31", 140°17'59.1", interacción galaxias
NGC 5508,   14h12m30.1s, +24°37'55.7", 14.39, 0.663, 12.97, 2h45m, +70°08'09.77", 136°21'00.0", galaxia
NGC 5511,   14h13m09.3s, +8°36'58.0", 15.69, 0.373, 12.29, 2h46m, +86°09'06.59", 140°29'46.6", galaxia
NGC 5515,   14h12m39.4s, +39°18'22.7", 13.66, 0.890, 12.51, 2h45m, +55°27'42.60", 128°54'46.7", galaxia activa
NGC 5522,   14h14m51.3s, +15°08'36.9", 13.58, 1.377, 12.63, 2h48m, +79°37'25.69", 138°55'50.5", galaxia activa
NGC 5525,   14h15m40.2s, +14°16'46.6", 12.84, 1.383, 12.57, 2h48m, +80°29'15.03", 138°56'17.8", galaxia activa
NGC 5530,   14h18m28.5s, -43°23'15.0", 11.28, 4.466, 13.42, 2h51m, +41°50'47.00", 121°21'43.0", galaxia
NGC 5532,   14h16m53.9s, +10°48'16.1", 12.26, 1.627, 12.82, 2h50m, +83°57'44.10", 139°17'33.8", radio galaxia
NGC 5539,   14h17m38.7s, +8°10'37.0", 14.29, 0.993, 13.71, 2h50m, +86°35'22.25", 139°26'16.6", galaxia
NGC 5540,   14h14m56.3s, +60°00'25.1", 14.19, 0.727, 13.07, 2h47m, +34°45'37.65", 115°02'15.3", galaxia
NGC 5541,   14h16m33.0s, +39°35'06.4", 13.70, 1.100, 12.76, 2h49m, +55°10'54.26", 128°08'20.0", radio galaxia
NGC 5548,   14h18m00.5s, +25°07'59.7", 13.92, 0.747, 12.96, 2h51m, +69°37'59.21", 135°00'18.1", galaxia activa
NGC 5549,   14h18m39.7s, +7°22'28.7", 13.07, 1.483, 12.96, 2h51m, +87°23'29.28", 139°15'31.2", galaxia activa
NGC 5550,   14h18m28.9s, +12°52'48.1", 13.39, 1.510, 13.47, 2h51m, +81°53'10.19", 138°33'24.8", galaxia
NGC 5557,   14h18m26.9s, +36°29'23.1", 11.81, 1.920, 12.83, 2h51m, +58°16'35.26", 129°33'09.0", galaxia
NGC 5559,   14h19m13.8s, +24°47'42.2", 14.10, 1.493, 13.40, 2h52m, +69°58'15.14", 134°53'02.8", radio galaxia
NGC 5560,   14h20m05.4s, +3°59'24.5", 12.55, 1.860, 12.47, 2h53m, +89°13'28.31", 139°03'35.2", galaxia
NGC 5566,   14h20m20.9s, +3°55'51.9", 10.73, 3.127, 12.26, 2h53m, +89°09'56.01", 138°59'46.3", interacción galaxias
NGC 5568,   14h19m22.5s, +35°05'17.7", 14.72, 0.673, 13.39, 2h52m, +59°40'39.48", 130°08'05.9", galaxia
NGC 5574,   14h20m56.9s, +3°14'07.9", 12.57, 1.413, 12.12, 2h54m, +88°28'12.76", 138°50'55.5", galaxia
NGC 5575,   14h21m00.3s, +6°12'00.1", 13.59, 0.890, 12.68, 2h54m, +88°33'55.05", 138°45'29.5", radio galaxia
NGC 5576,   14h21m04.6s, +3°16'06.9", 11.14, 2.223, 12.35, 2h54m, +88°30'11.92", 138°49'00.0", galaxia
NGC 5579,   14h20m27.6s, +35°11'05.5", 14.01, 2.041, 14.92, 2h53m, +59°34'50.35", 129°53'42.4", interacción galaxias
NGC 5584,   14h22m24.7s, -0°23'22.9", 12.79, 2.300, 13.79, 2h55m, +84°50'43.82", 138°20'20.1", galaxia
NGC 5585,   14h19m49.9s, +56°43'29.3", 11.50, 2.870, 13.23, 2h52m, +38°02'27.52", 116°51'27.0", galaxia
NGC 5587,   14h22m11.7s, +13°54'53.5", 13.05, 1.673, 12.79, 2h55m, +80°51'00.10", 137°28'08.8", galaxia
NGC 5592,   14h23m56.1s, -28°41'18.1", 12.94, 1.167, 12.80, 2h57m, +56°32'50.59", 129°03'48.4", galaxia
NGC 5597,   14h24m28.4s, -16°45'49.7", 14.38, 1.780, 14.53, 2h57m, +68°28'19.67", 134°10'53.0", galaxia activa
NGC 5603,   14h22m57.7s, +40°24'46.7", 14.32, 1.497, 14.51, 2h55m, +54°21'06.07", 126°39'29.2", galaxia activa
NGC 5606,   14h27m48.8s, -59°38'16.5", 8.17, 3.000, 10.29, 3h01m, +25°35'57.39", 109°19'36.3", cúmulo estelar abierto
NGC 5612,   14h34m05.6s, -78°23'03.0", 14.04, 1.420, 13.79, 3h08m, +6°51'19.98", 95°42'18.8", galaxia
NGC 5617 (Cúmulo Drácula),   14h29m45.7s, -60°42'35.4", 6.80, 15.000, 12.41, 3h03m, +24°31'41.10", 108°24'37.2", cúmulo estelar abierto
NGC 5618,   14h27m12.7s, -2°15'52.4", 13.84, 2.020, 13.95, 3h00m, +82°58'20.37", 136°58'18.7", galaxia
NGC 5619,   14h27m19.2s, +4°48'01.2", 13.25, 1.937, 13.71, 3h00m, +89°57'45.91", 137°14'36.5", radio galaxia
NGC 5622,   14h26m13.6s, +48°33'35.0", 13.69, 1.377, 13.45, 2h59m, +46°12'13.75", 121°24'06.9", galaxia activa
NGC 5623,   14h27m09.9s, +33°14'53.6", 12.74, 1.584, 13.10, 3h00m, +61°30'53.83", 129°39'04.0", galaxia
NGC 5625,   14h27m03.4s, +39°57'11.8", 14.66, 1.180, 14.27, 2h59m, +54°48'35.79", 126°15'30.6", galaxia activa
NGC 5628,   14h28m26.7s, +17°55'15.4", 13.70, 0.773, 12.43, 3h01m, +76°50'30.32", 135°05'05.0", galaxia
NGC 5630,   14h27m37.8s, +41°15'13.2", 13.55, 1.503, 13.28, 3h00m, +53°30'33.66", 125°27'25.2", galaxia
NGC 5631,   14h26m34.9s, +56°34'42.0", 12.84, 1.603, 13.46, 2h59m, +38°11'06.35", 116°15'54.8", galaxia activa
NGC 5632,   14h28m21.2s, -0°12'24.1", 15.07, 0.730, 13.53, 3h01m, +85°01'50.15", 136°52'14.4", galaxia
NGC 5633,   14h27m29.7s, +46°08'32.3", 13.18, 1.200, 12.89, 3h00m, +48°37'14.77", 122°41'01.5", galaxia
NGC 5634,   14h29m38.2s, -5°58'41.8", 10.25, 1.500, 10.86, 3h02m, +79°15'34.17", 135°50'59.1", cúmulo estelar globular
NGC 5638,   14h29m41.3s, +3°13'51.5", 11.39, 1.837, 12.29, 3h02m, +88°28'07.51", 136°40'01.9", interacción galaxias
NGC 5643,   14h32m42.0s, -44°10'24.9", 13.91, 4.647, 13.98, 3h06m, +41°03'55.32", 118°52'14.1", galaxia activa
NGC 5656,   14h30m26.6s, +35°19'01.5", 12.65, 1.310, 12.45, 3h03m, +59°26'41.64", 128°03'54.9", galaxia
NGC 5658,   14h32m29.4s, +0°17'30.8", 14.08, 1.610, 13.39, 3h05m, +85°31'50.47", 135°52'15.3", galaxia
NGC 5662 (Cúmulo Polilla Gitana),   14h35m38.5s, -56°36'57.7", 5.94, 8.000, 10.19, 3h09m, +28°37'26.60", 110°36'24.6", cúmulo de estrellas
NGC 5665,   14h21m30.7s, +5°04'14.1", 14.83, 0.410, 12.18, 2h54m, +89°41'40.41", 138°40'54.7", galaxia
NGC 5668,   14h33m25.2s, +4°26'52.6", 12.81, 2.754, 14.59, 3h06m, +89°41'13.52", 135°43'49.8", galaxia
NGC 5673,   14h31m32.3s, +49°57'16.1", 14.14, 1.707, 13.87, 3h04m, +44°48'25.74", 119°51'58.9", galaxia
NGC 5674,   14h33m53.2s, +5°27'20.4", 13.89, 1.467, 13.71, 3h07m, +89°18'18.00", 135°35'25.2", galaxia activa
NGC 5675,   14h32m40.9s, +36°17'53.3", 13.35, 1.457, 13.11, 3h05m, +58°27'46.91", 127°11'30.4", galaxia activa
NGC 5676,   14h32m48.2s, +49°27'12.4", 12.48, 3.353, 13.43, 3h05m, +45°18'27.70", 120°00'09.2", galaxia
NGC 5678,   14h32m07.2s, +57°55'01.3", 12.12, 2.447, 13.21, 3h04m, +36°50'39.83", 114°49'31.4", galaxia activa
NGC 5679,   14h35m09.6s, +5°21'23.0", 14.05, 1.013, 13.37, 3h08m, +89°24'13.69", 135°16'35.0", interacción galaxias
NGC 5681,   14h35m43.7s, +8°17'51.8", 14.04, 0.987, 13.37, 3h08m, +86°27'44.19", 134°58'14.9", galaxia
NGC 5682,   14h34m46.3s, +48°39'57.2", 14.45, 1.210, 13.61, 3h07m, +46°05'40.28", 120°12'21.3", galaxia
NGC 5683,   14h34m53.8s, +48°39'27.2", 16.34, 0.453, 14.06, 3h07m, +46°06'10.12", 120°11'38.2", galaxia activa
NGC 5685,   14h36m16.4s, +29°54'16.0", 13.99, 0.750, 13.08, 3h09m, +64°51'19.31", 129°22'38.7", galaxia
NGC 5687,   14h34m53.9s, +54°28'16.5", 12.81, 1.857, 13.47, 3h07m, +40°17'20.87", 116°42'04.9", galaxia
NGC 5689,   14h35m31.0s, +48°44'13.6", 12.35, 2.057, 12.72, 3h08m, +46°01'22.87", 120°03'52.1", galaxia
NGC 5691,   14h37m54.2s, -0°24'04.0", 12.92, 1.670, 13.10, 3h11m, +84°50'23.07", 134°28'32.3", galaxia activa
NGC 5694,   14h39m37.5s, -26°32'19.0", 11.13, 4.000, 13.88, 3h12m, +58°42'10.57", 127°01'32.5", cúmulo estelar globular
NGC 5695,   14h37m23.2s, +36°33'49.2", 13.83, 1.190, 13.52, 3h10m, +58°11'44.62", 126°14'03.3", galaxia activa
NGC 5698,   14h37m15.7s, +38°27'00.0", 13.58, 1.373, 13.65, 3h10m, +56°18'33.99", 125°20'38.3", radio galaxia
NGC 5701,   14h39m11.9s, +5°21'39.6", 11.08, 2.933, 12.60, 3h12m, +89°23'51.63", 134°16'18.0", galaxia
NGC 5705,   14h39m50.5s, -0°43'14.1", 20.27, 1.633, 12.56, 3h13m, +84°31'15.59", 133°58'08.5", galaxia activa
NGC 5708,   14h38m17.4s, +40°27'09.1", 13.53, 1.503, 13.52, 3h11m, +54°18'23.55", 124°10'14.9", galaxia
NGC 5709,   14h38m50.9s, +30°26'19.7", 13.95, 1.623, 13.63, 3h11m, +64°19'12.10", 128°39'08.0", galaxia
NGC 5711,   14h39m23.3s, +19°59'14.2", 14.50, 0.823, 12.97, 3h12m, +74°46'16.77", 132°02'53.5", radio galaxia
NGC 5713,   14h40m12.4s, -0°17'29.2", 11.40, 2.290, 12.93, 3h13m, +84°57'01.01", 133°54'31.6", galaxia
NGC 5714,   14h38m12.8s, +46°38'02.3", 13.78, 2.250, 13.29, 3h11m, +48°07'30.44", 120°53'16.8", galaxia
NGC 5715,   14h43m31.5s, -57°33'53.5", 10.28, 6.000, 13.91, 3h17m, +27°40'41.78", 109°10'35.6", cúmulo estelar abierto
NGC 5718,   14h40m43.7s, +3°27'46.6", 13.20, 1.930, 13.98, 3h13m, +88°42'17.54", 133°54'46.6", galaxia
NGC 5720,   14h38m34.6s, +50°48'39.2", 13.80, 1.213, 13.77, 3h11m, +43°56'53.09", 118°27'18.1", galaxia
NGC 5722,   14h38m55.6s, +46°39'40.4", 14.63, 0.517, 12.87, 3h11m, +48°05'51.37", 120°46'15.5", interacción galaxias
NGC 5727,   14h40m27.1s, +33°59'06.2", 13.98, 2.200, 14.77, 3h13m, +60°46'23.37", 126°51'10.6", galaxia
NGC 5728,   14h42m24.8s, -17°15'14.9", 13.62, 3.007, 14.70, 3h15m, +67°59'18.45", 129°58'53.1", galaxia activa
NGC 5733,   14h42m46.7s, -0°21'13.0", 14.53, 1.457, 13.70, 3h15m, +84°53'20.86", 133°15'46.4", galaxia
NGC 5735,   14h42m34.2s, +28°43'20.8", 13.58, 2.017, 13.90, 3h15m, +66°02'05.84", 128°34'15.8", galaxia
NGC 5736,   14h43m31.7s, +11°11'59.2", 14.11, 1.053, 13.33, 3h16m, +83°33'25.93", 132°45'53.0", galaxia
NGC 5738,   14h43m57.2s, +1°36'06.0", 14.12, 0.770, 12.45, 3h17m, +86°50'41.52", 133°04'13.5", galaxia
NGC 5746 (Galaxia Cuchilla y Perla),   14h44m56.8s, +1°57'08.4", 15.98, 5.723, 14.57, 3h18m, +87°11'45.35", 132°50'01.2", interacción galaxias
NGC 5748,   14h45m06.0s, +21°54'45.5", 14.44, 0.757, 13.06, 3h18m, +72°50'37.50", 130°14'37.7", galaxia
NGC 5749,   14h48m56.6s, -54°29'52.9", 9.25, 7.000, 13.21, 3h22m, +30°44'50.19", 110°29'23.1", cúmulo estelar abierto
NGC 5750,   14h46m11.9s, -0°13'31.1", 15.79, 2.420, 17.03, 3h19m, +85°01'07.64", 132°25'05.8", galaxia activa
NGC 5751,   14h43m50.6s, +53°23'46.8", 13.59, 1.277, 13.65, 3h16m, +41°21'38.24", 116°17'30.6", galaxia
NGC 5757,   14h47m47.2s, -19°04'45.7", 13.96, 2.300, 13.88, 3h21m, +66°09'55.38", 128°10'39.9", galaxia activa
NGC 5758,   14h47m02.9s, +13°39'54.4", 14.23, 0.860, 13.48, 3h20m, +81°05'25.79", 131°34'28.1", galaxia activa
NGC 5760,   14h47m43.1s, +18°29'55.1", 13.57, 1.077, 12.71, 3h20m, +76°15'24.06", 130°30'11.7", galaxia
NGC 5762,   14h48m43.4s, +12°27'14.4", 13.69, 0.620, 12.21, 3h21m, +82°18'03.30", 131°20'40.5", galaxia activa
NGC 5763,   14h48m59.5s, +12°29'13.7", 14.69, 0.643, 13.31, 3h22m, +82°16'03.58", 131°16'30.3", galaxia
NGC 5764,   14h53m34.2s, -52°40'16.0", 13.04, 3.000, 15.16, 3h27m, +32°34'33.89", 111°01'30.7", cúmulo estelar abierto
NGC 5768,   14h52m08.7s, -2°31'54.4", 13.26, 1.663, 13.69, 3h25m, +82°42'52.94", 130°44'57.6", galaxia
NGC 5770,   14h53m15.8s, +3°57'25.9", 12.48, 1.487, 12.45, 3h26m, +89°12'14.87", 130°47'12.2", galaxia
NGC 5772,   14h51m39.9s, +40°35'41.5", 13.07, 1.440, 13.04, 3h24m, +54°09'32.12", 121°52'46.3", galaxia activa
NGC 5774,   14h53m43.5s, +3°34'47.0", 13.16, 1.633, 13.33, 3h26m, +88°49'36.73", 130°40'13.5", interacción galaxias
NGC 5775,   14h53m58.4s, +3°32'31.1", 11.56, 3.967, 12.54, 3h27m, +88°47'21.13", 130°36'29.7", interacción galaxias
NGC 5776,   14h54m33.5s, +2°57'50.8", 13.69, 0.997, 13.20, 3h27m, +88°12'41.69", 130°27'21.9", galaxia
NGC 5777,   14h51m19.3s, +58°58'23.3", 13.63, 1.393, 13.09, 3h23m, +35°46'50.97", 112°11'44.2", galaxia
NGC 5778,   14h54m32.3s, +18°38'20.1", 14.32, 1.120, 13.94, 3h27m, +76°06'49.05", 128°53'42.7", galaxia
NGC 5780,   14h54m23.6s, +28°56'08.4", 14.19, 0.930, 13.02, 3h27m, +65°49'01.05", 126°04'29.4", galaxia activa
NGC 5782,   14h54m59.3s, +11°41'45.7", 14.53, 0.593, 12.47, 3h28m, +83°03'22.80", 129°55'04.4", galaxia
NGC 5788,   14h53m18.2s, +52°02'22.5", 14.86, 0.693, 13.28, 3h25m, +42°42'48.81", 115°51'58.4", galaxia
NGC 5789,   14h56m36.2s, +30°13'49.9", 14.16, 1.100, 13.99, 3h29m, +64°31'16.25", 125°10'45.0", galaxia
NGC 5790,   14h57m36.6s, +8°16'56.6", 14.03, 0.917, 13.22, 3h30m, +86°28'07.87", 129°34'21.3", radio galaxia
NGC 5792,   14h58m23.5s, -1°05'35.7", 12.59, 4.053, 13.91, 3h31m, +84°09'21.01", 129°19'03.0", galaxia
NGC 5793,   14h59m25.6s, -16°41'40.0", 13.57, 1.093, 12.55, 3h32m, +68°33'18.42", 126°16'06.5", galaxia activa
NGC 5804,   14h57m08.0s, +49°39'51.8", 16.23, 0.963, 15.05, 3h29m, +45°05'13.76", 116°36'07.1", galaxia activa
NGC 5806,   15h00m01.2s, +1°53'19.9", 11.93, 2.593, 12.79, 3h33m, +87°08'19.16", 129°04'02.8", galaxia activa
NGC 5811,   15h00m28.2s, +1°37'15.6", 14.56, 1.000, 14.12, 3h33m, +86°52'15.54", 128°56'46.6", interacción galaxias
NGC 5813,   15h01m12.0s, +1°41'58.5", 10.69, 3.677, 12.97, 3h34m, +86°56'59.55", 128°45'59.3", galaxia activa
NGC 5814,   15h01m21.9s, +1°38'04.9", 13.98, 0.627, 12.35, 3h34m, +86°53'06.23", 128°43'22.6", radio galaxia
NGC 5822,   15h04m29.6s, -54°23'16.2", 7.00, 40.000, 14.75, 3h38m, +30°51'50.35", 108°42'49.3", cúmulo estelar abierto
NGC 5823,   15h05m32.5s, -55°35'33.9", 8.42, 12.000, 13.56, 3h39m, +29°39'34.38", 107°55'10.6", cúmulo estelar abierto
NGC 5824,   15h03m59.5s, -33°04'05.1", 9.87, 1.583, 10.53, 3h37m, +52°11'00.43", 119°25'31.0", cúmulo estelar globular
NGC 5828,   15h00m47.2s, +49°59'21.1", 14.20, 0.920, 13.43, 3h33m, +44°45'38.87", 115°55'45.7", galaxia
NGC 5829,   15h02m42.8s, +23°19'47.5", 13.81, 2.137, 14.97, 3h35m, +71°25'09.23", 125°56'57.0", interacción galaxias
NGC 5831,   15h04m07.8s, +1°13'03.2", 12.23, 1.687, 13.04, 3h37m, +86°28'08.83", 128°01'01.1", galaxia
NGC 5837,   15h04m41.3s, +12°37'49.5", 14.08, 0.860, 12.90, 3h37m, +82°07'04.14", 127°27'22.9", radio galaxia
NGC 5838,   15h05m27.0s, +2°05'49.0", 11.75, 2.623, 12.91, 3h38m, +87°20'56.64", 127°43'03.1", galaxia
NGC 5839,   15h05m28.2s, +1°37'56.1", 12.42, 1.173, 12.32, 3h38m, +86°53'03.80", 127°41'52.0", galaxia
NGC 5842,   15h04m52.8s, +21°03'56.6", 15.03, 0.593, 13.34, 3h37m, +73°40'56.73", 125°59'48.6", radio galaxia
NGC 5845,   15h06m01.5s, +1°37'53.2", 11.43, 0.603, 9.59, 3h39m, +86°53'01.76", 127°33'32.7", galaxia
NGC 5846,   15h06m30.0s, +1°36'11.7", 11.51, 3.283, 13.74, 3h39m, +86°51'21.03", 127°26'22.6", galaxia
NGC 5847,   15h06m23.0s, +6°22'37.8", 15.01, 0.557, 13.28, 3h39m, +88°22'13.10", 127°29'04.3", galaxia
