Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 2208,    6h22m35.1s, +51°54'44.0", 13.16, 1.850, 13.61, 18h53m, +42°44'55.69", 99°10'30.6", galaxia
NGC 2210,    6h11m32.0s, -69°07'37.3", 15.01, 1.370, 15.18, 18h40m, +16°13'09.73", 90°43'38.5", cúmulo de estrellas
NGC 2214,    6h12m57.5s, -68°15'56.3", 14.60, —, —, 18h42m, +17°04'47.55", 90°59'42.2", cúmulo estelar abierto
NGC 2215,    6h20m49.3s, -7°17'09.2", 8.97, 8.000, 13.22, 18h51m, +78°03'15.83", 100°44'03.2", cúmulo estelar abierto
NGC 2217,    6h21m40.1s, -27°14'17.1", 12.57, 4.157, 14.17, 18h51m, +58°06'06.29", 98°53'55.1", galaxia activa
NGC 2231,    6h20m43.9s, -67°31'27.1", 16.03, 1.457, 15.69, 18h49m, +17°48'59.54", 91°50'52.8", cúmulo estelar globular
NGC 2232 (Cúmulo Doble Cuña),    6h27m15.4s, -4°45'38.4", 4.36, 29.000, 11.41, 18h57m, +80°34'32.44", 102°30'06.6", cúmulo estelar abierto
NGC 2236,    6h29m40.7s, +6°48'55.3", 8.92, 6.000, 12.55, 19h00m, +87°50'59.27", 103°35'19.5", cúmulo estelar abierto
NGC 2238 (Nebulosa de Roseta),    6h30m29.1s, +5°02'53.5", 9.42, 80.000, 18.36, 19h01m, +89°37'02.81", 103°45'07.2", región HII
NGC 2241,    6h22m53.9s, -68°55'50.1", 16.24, 1.600, 17.00, 18h52m, +16°24'31.89", 91°45'46.5", cúmulo de estrellas
NGC 2242,    6h34m07.9s, +44°46'45.1", 15.45, —, —, 19h05m, +49°53'19.74", 102°04'35.6", nebulosa planetaria
NGC 2243,    6h29m34.5s, -31°17'15.2", 10.00, 4.000, 12.75, 18h59m, +54°02'50.87", 100°00'46.0", cúmulo estelar abierto
NGC 2244 (Nebulosa de Roseta),    6h31m55.3s, +4°56'24.7", 5.21, 24.000, 11.85, 19h02m, +89°43'34.79", 104°06'24.7", cúmulo estelar abierto
NGC 2249,    6h25m49.8s, -68°55'32.0", 15.02, 2.300, 16.56, 18h54m, +16°24'43.52", 92°01'17.9", cúmulo estelar globular
NGC 2250,    6h33m41.6s, -5°04'57.7", 9.32, 7.000, 13.28, 19h04m, +80°14'59.06", 104°04'47.9", cúmulo estelar abierto
NGC 2251,    6h34m38.3s, +8°21'55.8", 7.69, 10.000, 12.43, 19h05m, +86°18'09.65", 104°50'17.0", cúmulo estelar abierto
NGC 2252,    6h32m20.8s, +6°19'15.6", 8.11, 20.000, 14.35, 19h02m, +88°20'44.76", 104°14'33.2", cúmulo estelar abierto
NGC 2254,    6h35m46.2s, +7°40'06.4", 9.49, 4.000, 12.24, 19h06m, +87°00'01.55", 105°06'42.3", cúmulo estelar abierto
NGC 2257,    6h30m12.8s, -64°19'57.2", 14.45, 4.000, 17.20, 18h59m, +21°00'08.43", 93°28'23.2", cúmulo de estrellas
NGC 2259,    6h38m34.8s, +10°53'19.4", 11.17, 3.000, 13.30, 19h09m, +83°46'54.65", 105°48'41.1", cúmulo estelar abierto
NGC 2261 (Nebulosa variable de Hubble),    6h39m10.3s, +8°44'04.4", 9.37, 2.000, 9.86, 19h09m, +85°56'10.93", 105°57'40.1", nebulosa de reflexión
NGC 2262,    6h39m40.0s, +1°08'16.2", 11.68, 3.500, 14.14, 19h10m, +86°27'59.89", 105°54'53.6", cúmulo estelar abierto
NGC 2264 (Cúmulo Arbol de Navidad),    6h40m58.5s, +9°53'37.1", 4.27, 10.000, 8.62, 19h11m, +84°46'42.20", 106°24'20.2", cúmulo estelar abierto
NGC 2266,    6h43m20.6s, +26°59'06.9", 9.87, 5.000, 13.10, 19h14m, +67°41'17.75", 106°07'30.1", cúmulo estelar abierto
NGC 2268,    7h14m23.2s, +84°23'12.2", 12.96, 1.993, 13.64, 19h50m, +10°18'24.25", 94°53'58.2", galaxia
NGC 2269 (Cúmulo Cazador de Cabeza),    6h43m14.3s, +4°36'47.3", 10.36, 4.000, 13.11, 19h13m, +89°56'23.19", 106°55'03.8", cúmulo estelar abierto
NGC 2272,    6h42m41.8s, -27°27'49.6", 12.35, 1.987, 13.25, 19h12m, +57°51'47.77", 103°28'36.8", galaxia
NGC 2273,    6h50m09.6s, +60°50'56.0", 14.03, 1.973, 14.89, 19h21m, +33°49'44.14", 101°10'18.3", galaxia activa
NGC 2281 (Cúmulo Corazón Roto),    6h48m17.6s, +41°04'46.3", 5.78, 15.000, 11.40, 19h19m, +53°35'49.24", 105°14'00.2", cúmulo estelar abierto
NGC 2282,    6h46m51.5s, +1°18'46.3", 9.65, 3.000, 11.77, 19h17m, +86°38'14.31", 107°43'05.7", nebulosa de reflexión
NGC 2286,    6h47m39.6s, -3°09'27.1", 7.85, 14.000, 13.32, 19h18m, +82°09'59.24", 107°41'01.1", cúmulo estelar abierto
NGC 2298,    6h49m00.0s, -36°00'36.1", 9.39, 2.000, 10.63, 19h19m, +49°18'47.70", 103°04'09.6", cúmulo estelar globular
NGC 2301 (Cúmulo del Gran Pájaro),    6h51m45.6s, +0°27'28.0", 6.33, 15.000, 11.95, 19h22m, +85°46'45.45", 108°54'21.2", cúmulo estelar abierto
NGC 2302,    6h51m53.3s, -7°04'58.2", 9.24, —, —, 19h22m, +78°14'18.99", 108°25'53.3", cúmulo estelar abierto
NGC 2304,    6h55m12.3s, +17°59'16.7", 10.32, 4.000, 13.07, 19h25m, +76°41'33.47", 109°35'09.8", cúmulo estelar abierto
NGC 2309,    6h56m05.3s, -7°10'40.3", 10.83, 3.000, 12.95, 19h26m, +78°08'27.94", 109°27'37.8", cúmulo estelar abierto
NGC 2310,    6h53m54.6s, -40°52'03.1", 12.28, 3.517, 13.20, 19h23m, +44°27'10.25", 102°49'37.4", galaxia
NGC 2311,    6h57m47.8s, -4°36'45.5", 9.92, 6.000, 13.55, 19h28m, +80°42'18.99", 110°06'08.3", cúmulo estelar abierto
NGC 2314,    7h10m34.7s, +75°19'50.3", 12.54, 1.173, 12.43, 19h43m, +19°21'34.67", 98°19'45.0", galaxia
NGC 2324,    7h04m07.5s, +1°02'34.2", 8.70, 9.000, 13.20, 19h34m, +86°21'25.11", 112°01'09.2", cúmulo estelar abierto
NGC 2329,    7h09m08.8s, +48°37'03.6", 14.34, 1.163, 13.93, 19h40m, +46°04'16.76", 107°07'34.2", galaxia activa
NGC 2330,    7h09m29.2s, +50°09'16.9", 13.41, 0.443, 11.17, 19h40m, +44°32'04.24", 106°44'40.3", galaxia
NGC 2331,    7h06m43.8s, +27°15'18.6", 8.80, 18.000, 14.81, 19h37m, +67°25'56.26", 111°15'29.2", cúmulo estelar abierto
NGC 2335,    7h06m49.5s, -10°01'51.8", 7.50, 10.000, 12.24, 19h37m, +75°16'53.49", 111°47'50.0", cúmulo estelar abierto
NGC 2336,    7h27m07.7s, +80°10'55.8", 13.24, 5.677, 16.25, 20h00m, +14°31'04.58", 97°06'10.9", interacción galaxias
NGC 2341,    7h09m12.5s, +20°36'08.6", 13.16, 0.727, 11.88, 19h39m, +74°05'11.45", 112°39'24.7", galaxia
NGC 2342,    7h09m18.7s, +20°38'07.6", 12.43, 1.790, 12.92, 19h39m, +74°03'12.65", 112°40'38.7", galaxia activa
NGC 2343 (Cúmulo del Doblete),    7h08m06.5s, -10°37'12.4", 7.00, 6.000, 10.63, 19h38m, +74°41'30.22", 112°02'18.4", cúmulo estelar abierto
NGC 2344,    7h12m29.5s, +47°10'07.4", 12.48, 1.847, 13.39, 19h43m, +47°31'20.01", 108°04'15.0", radio galaxia
NGC 2345,    7h08m18.5s, -13°11'46.6", 8.01, 10.000, 12.74, 19h38m, +72°06'55.55", 111°44'27.3", cúmulo estelar abierto
NGC 2346 (Nebulosa de la Mariposa),    7h09m23.1s, -0°48'32.0", 11.88, 0.910, 11.42, 19h39m, +84°30'07.78", 113°14'37.5", nebulosa planetaria
NGC 2347,    7h16m05.4s, +64°42'53.3", 13.43, 1.230, 13.23, 19h47m, +29°58'42.22", 102°45'50.7", interacción galaxias
NGC 2353 (Isla de Avery),    7h14m30.6s, -10°16'12.2", 7.39, 20.000, 13.63, 19h44m, +75°02'16.84", 113°38'37.7", cúmulo estelar abierto
NGC 2354,    7h14m10.7s, -25°41'38.7", 6.83, 20.000, 13.07, 19h44m, +59°36'51.25", 110°43'40.6", cúmulo estelar abierto
NGC 2355,    7h16m59.6s, +13°44'56.1", 9.96, 6.000, 13.59, 19h47m, +80°56'40.29", 115°05'28.2", cúmulo estelar abierto
NGC 2360 (Cúmulo de Carolina),    7h17m43.6s, -15°38'43.6", 7.49, 14.000, 12.96, 19h48m, +69°39'38.80", 113°36'18.2", cúmulo estelar abierto
NGC 2362 (Cúmulo τ CMa),    7h18m41.7s, -24°57'32.4", 4.41, 8.000, 8.67, 19h48m, +60°20'48.00", 111°53'38.8", cúmulo estelar abierto
